RSSD9001,RSSD9050,RSSD9999,RSSDSubmissionDate,RSSD9055,RSSDOTSDocketNumber,RSSD9042,RSSD9017,RSSDFinInstAddress,RSSD9130,RSSD9200,RSSD9220,RSSDFinInstFilingType,RCFN5513,RCFNK260,RCFNK290,RCFNB554,RCFNB555,RCFNB553,RCFN2650,RCFN2625,RCFNGW43,RCFNB902,RCFNB903,RCFNB900,RCFNB901,RCFNK293,RCFNK291,RCFNK292,RCFNK296,RCFNK294,RCFNK295,RCFNK289,RCFN6631,RCFNB572,RCFNB573,RCFNB574,RCFN3404,RCFN3360,RCFNA245,RCFN6636,RCFNF235,RCFN2200,RCFNF234,RCFN2133,RCFN2898,RCFN3542,RCFN3543
2161,23597,12/31/2022,30JAN2023:16:02:59,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,23597,03/31/2023,27APR2023:13:13:24,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,17230,03/31/2022,21APR2022:12:30:28,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,17230,06/30/2022,21JUL2022:11:27:26,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,17230,09/30/2022,19OCT2022:12:41:00,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,17230,12/31/2022,18JAN2023:16:53:37,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,17230,03/31/2023,21APR2023:14:20:12,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,5408,03/31/2022,06FEB2023:15:16:34,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,5408,06/30/2022,06FEB2023:15:18:26,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,5408,09/30/2022,06FEB2023:15:24:19,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,5408,12/31/2022,06FEB2023:15:24:25,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,5408,03/31/2023,25APR2023:15:47:44,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,5410,03/31/2022,29APR2022:11:33:39,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,5410,06/30/2022,28JUL2022:16:23:43,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,5410,09/30/2022,28OCT2022:12:22:00,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,5410,12/31/2022,27JAN2023:16:04:11,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,5410,03/31/2023,28APR2023:11:46:37,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,16103,03/31/2022,14MAR2023:13:53:28,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,16103,06/30/2022,14MAR2023:13:53:35,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,16103,09/30/2022,14MAR2023:13:53:43,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,16103,12/31/2022,14MAR2023:13:53:49,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,16103,03/31/2023,18APR2023:11:11:36,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,15671,03/31/2022,28APR2022:13:38:49,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
